text,label
I'm horrible unsatisfied. Complete waste.,negative
What a wretched experience! Waste of money.,negative
I hate this! So awful and useless.,negative
Bad purchase! Very frustrating materials.,negative
Great purchase! Very exceptional quality.,positive
This is hands down the dreadful product I've used.,negative
The quality is hopeless. Never ordering again.,negative
The service was charming. Very impressed.,positive
The quality is remarkable. Will order more!,positive
The quality is dismal. Not recommended.,negative
Perfect! Exactly what I needed. Very amazing.,positive
This item is satisfactory. Exceeded all expectations.,positive
This is hands down the disgusting product I've used.,negative
This is hands down the superb product I've used.,positive
This is hands down the superb product I've used.,positive
This is outstanding. Exceeded my expectations.,positive
The quality is pathetic. Not recommended.,negative
The service was dismal. Very disappointed.,negative
Great purchase! Very top-notch quality.,positive
I'm inferior with the results. Poor quality.,negative
The quality is top-notch. Highly recommended!,positive
The quality is abysmal. Not recommended.,negative
Bad purchase! Very miserable materials.,negative
The quality is dreadful. Never ordering again.,negative
The service was dreadful. Very disappointed.,negative
Super enjoyable! Works like a charm.,positive
Absolutely lousy! Worst thing I've bought.,negative
Very charming and well-designed. Five stars!,positive
The quality is unsatisfactory. Never ordering again.,negative
Perfect! Exactly what I needed. Very exceptional.,positive
Absolutely delightful! Best thing I've bought.,positive
I can't believe how wretched this is. Terrible!,negative
This item is abysmal. Total disappointment.,negative
I'm deplorable with the results. Poor quality.,negative
I am very poor with this purchase.,negative
I hate this! So pathetic and useless.,negative
This product is really poor. Very disappointed.,negative
The service was pathetic. Very disappointed.,negative
This is mediocre. Did not meet expectations.,negative
This is frustrating. Did not meet expectations.,negative
Absolutely hopeless! Worst thing I've bought.,negative
I am very poor with this purchase.,negative
So charming! I use it every single day.,positive
The quality is pleasing. Highly recommended!,positive
I can't believe how lousy this is. Terrible!,negative
So poor! I regret buying this.,negative
This is charming. Exceeded my expectations.,positive
I'm wonderful satisfied. Worth every penny.,positive
I am very impressive with this purchase.,positive
I can't believe how perfect this is. Amazing!,positive
This product is really brilliant! I love it.,positive
This product is really pleasing! I love it.,positive
So excellent! I use it every single day.,positive
This product is really fabulous! I love it.,positive
The service was poor. Very disappointed.,negative
This product is really inferior. Very disappointed.,negative
So dismal! I regret buying this.,negative
I'm subpar with the results. Poor quality.,negative
This item is remarkable. Exceeded all expectations.,positive
What a charming experience! Will buy again.,positive
What a brilliant experience! Will buy again.,positive
This is dreadful. Did not meet expectations.,negative
The service was phenomenal. Very impressed.,positive
Very superb and well-designed. Five stars!,positive
What a abysmal experience! Waste of money.,negative
What a enjoyable experience! Will buy again.,positive
The service was abysmal. Very disappointed.,negative
Excellent product! It's wonderful.,positive
The quality is wretched. Never ordering again.,negative
Excellent product! It's superb.,positive
This is hands down the wretched product I've used.,negative
Excellent product! It's pleasing.,positive
Perfect! Exactly what I needed. Very outstanding.,positive
The quality is pleasing. Highly recommended!,positive
Terrible product! It's wretched.,negative
Very splendid and well-designed. Five stars!,positive
Absolutely remarkable! Best thing I've bought.,positive
So superb! I use it every single day.,positive
I can't believe how poor this is. Terrible!,negative
The quality is mediocre. Never ordering again.,negative
The quality is lousy. Not recommended.,negative
This is hands down the useless product I've used.,negative
Very inferior! Stopped working after a week.,negative
Terrible product! It's miserable.,negative
I'm exceptional satisfied. Worth every penny.,positive
This is hands down the subpar product I've used.,negative
